,jia,jin,zhuan,char
5315,0,3,0,坯
5316,0,0,1,睨
5317,0,0,1,毂
5318,7,3,1,爰
5319,1,0,0,犾
5320,0,1,1,贸
5321,0,2,1,鄫
5322,0,0,1,晐
5323,3,0,1,肉
5324,1,0,0,欬
5325,0,3,1,变
5326,0,0,1,觥
5327,0,17,1,庙
5328,1,1,1,巫
5329,0,1,1,赢
5330,1,0,1,熊
5331,0,3,1,弼
5332,0,0,1,廖
5333,0,0,1,范
5334,0,0,1,漼
5335,0,0,1,穄
5336,21,8,1,族
5337,0,0,1,题
5338,0,0,1,蠡
5339,1,3,1,协
5340,1,4,1,进
5341,0,1,1,羝
5342,1,1,1,栽
5343,0,1,1,虑
5344,0,2,1,斯
5345,0,1,1,尺
5346,0,0,1,垸
5347,2,2,1,镬
5348,0,0,1,爇
5349,0,0,1,铩
5350,0,0,1,纤
5351,0,0,1,肓
5352,0,0,1,杭
5353,0,0,1,蛴
5354,0,0,1,垓
5355,0,0,1,逴
5356,0,0,1,油
5357,1,0,0,胾
5358,0,0,1,佼
5359,0,0,1,芴
5360,0,0,1,佰
5361,0,0,1,祟
5362,0,0,1,遥
5363,0,0,1,馥
5364,0,1,1,制
5365,0,0,1,嫱
5366,0,0,1,磻
5367,0,0,1,荩
5368,0,0,1,混
5369,0,1,0,粤
5370,0,0,1,闰
5371,0,0,1,嬗
5372,3,0,1,带
5373,5,0,0,姌
5374,65,60,1,庚
5375,0,9,1,平
5376,0,9,1,尬
5377,0,0,1,隔
5378,0,0,1,鳟
5379,0,0,1,滍
5380,0,0,1,纫
5381,0,0,1,晙
5382,16,5,1,闻
5383,0,0,1,掠
5384,0,1,1,举
5385,0,0,1,褚
5386,0,0,1,茝
5387,0,0,1,髑
5388,0,4,1,与
5389,0,3,1,蓥
5390,0,0,1,靓
5391,0,4,1,坪
5392,0,0,1,桶
5393,0,0,1,疽
5394,0,3,1,盾
5395,0,0,1,澡
5396,0,0,1,珙
5397,0,0,1,芘
5398,0,9,1,遹
5399,0,0,1,谗
5400,0,0,1,碧
5401,1,0,0,侚
5402,0,0,1,絷
5403,0,0,1,搂
5404,0,0,1,鸾
5405,8,11,1,昔
5406,0,0,1,含
5407,0,0,1,耏
5408,0,0,1,綮
5409,0,0,1,浩
5410,12,38,1,元
5411,0,0,1,筤
5412,0,0,1,炱
5413,0,0,1,缒
5414,8,0,0,蘖
5415,0,0,1,埒
5416,0,0,1,跃
5417,35,0,0,薶
5418,0,0,1,奘
5419,0,0,1,朸
5420,0,0,1,剧
5421,0,0,1,鹪
5422,0,0,1,谕
5423,0,1,1,骄
5424,0,0,1,汁
5425,0,0,1,撰
5426,14,7,1,学
5427,0,0,1,戛
5428,0,0,1,榱
5429,0,0,1,莛
5430,0,0,1,晖
5431,0,0,1,粉
5432,0,0,1,垢
5433,0,1,1,瞻
5434,0,2,1,萃
5435,0,0,1,樗
5436,3,0,1,虹
5437,4,13,1,单
